id;start_date;end_date;language
1;2020-08-12T11:57:44;2020-08-12T09:47:59;SPANISH
2;2020-08-11T16:47:55;2020-08-12T11:52:20;SPANISH
3;2020-08-12T07:43:14;2020-08-11T18:17:23;ITALIAN
4;2020-08-11T23:00:45;2020-08-12T10:32:11;ITALIAN
5;2020-08-12T08:31:03;2020-08-12T13:18:02;ITALIAN
6;2020-08-12T02:23:24;2020-08-12T14:31:38;ITALIAN
7;2020-08-12T04:08:44;2020-08-11T21:59:35;ITALIAN
8;2020-08-12T03:04:57;2020-08-12T13:21:05;SPANISH
9;2020-08-12T01:46:06;2020-08-11T22:27:29;SPANISH
10;2020-08-12T09:58:10;2020-08-11T20:32:40;SPANISH
