id;name;code;start_date;end_date;duration
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2020-08-11;2020-08-12;29717
2;Web Savings Account;methodologies;2020-08-12;2020-08-11;3494
3;morph Rubber;responsive Frozen Turnpike;2020-08-12;2020-08-11;73168
4;PNG solid state Designer;Pakistan Rupee proactive reboot;2020-08-12;2020-08-12;97652
5;hacking;back up Pa'anga copying;2020-08-12;2020-08-11;16189
6;backing up Ramp calculating;Gorgeous Soft Car;2020-08-11;2020-08-12;9752
7;recontextualize Checking Account integrate;sensor;2020-08-12;2020-08-11;88253
8;Agent;Western Sahara Plastic;2020-08-11;2020-08-11;26223
9;navigate Applications Dynamic;Technician;2020-08-12;2020-08-12;88974
10;applications withdrawal Rustic;logistical;2020-08-12;2020-08-12;64811
